"data_source";"noise_source";"metric";"bevoelkerung_different sources";"bevoelkerung_major sources";"exponierteGesamt_different sources";"exponierteGesamt_major sources";"AnzKartierteGemeinden_different sources";"AnzKartierteGemeinden_major sources";"bundesland_name"
"EEA";"road";"lden";"179634";"179634";"72000";"43600";"1";"1";"Saarland"
"EEA";"road";"lnight";"179634";"179634";"54500";"31100";"1";"1";"Saarland"
"EEA";"air";"lden";"179634";"179634";"0";"0";"1";"1";"Saarland"
"EEA";"air";"lnight";"179634";"179634";"0";"0";"1";"1";"Saarland"
"EEA";"rail";"lden";"179634";"179634";"17100";"10300";"1";"1";"Saarland"
"EEA";"rail";"lnight";"179634";"179634";"13800";"7900";"1";"1";"Saarland"
"EEA";"industry";"lden";"179634";NA;"0";NA;"1";NA;"Saarland"
"EEA";"industry";"lnight";"179634";NA;"0";NA;"1";NA;"Saarland"
"EEA";"road";"lden";"3677472";"3677472";"1172900";"927400";"1";"1";"Berlin"
"EEA";"road";"lnight";"3677472";"3677472";"941900";"741500";"1";"1";"Berlin"
"EEA";"air";"lden";"3677472";"3677472";"8800";"8800";"1";"1";"Berlin"
"EEA";"air";"lnight";"3677472";"3677472";"1300";"1300";"1";"1";"Berlin"
"EEA";"rail";"lden";"3677472";"3677472";"352600";"217500";"1";"1";"Berlin"
"EEA";"rail";"lnight";"3677472";"3677472";"252100";"165200";"1";"1";"Berlin"
"EEA";"industry";"lden";"3677472";NA;"700";NA;"1";NA;"Berlin"
"EEA";"industry";"lnight";"3677472";NA;"0";NA;"1";NA;"Berlin"
"EEA";"road";"lden";"183154";"183154";"77400";"41500";"1";"1";"Brandenburg"
"EEA";"road";"lnight";"183154";"183154";"54100";"27900";"1";"1";"Brandenburg"
"EEA";"air";"lden";"183154";"183154";"0";"0";"1";"1";"Brandenburg"
"EEA";"air";"lnight";"183154";"183154";"0";"0";"1";"1";"Brandenburg"
"EEA";"rail";"lden";"183154";"183154";"23500";"7300";"1";"1";"Brandenburg"
"EEA";"rail";"lnight";"183154";"183154";"15000";"4900";"1";"1";"Brandenburg"
"EEA";"industry";"lden";"183154";NA;"400";NA;"1";NA;"Brandenburg"
"EEA";"industry";"lnight";"183154";NA;"0";NA;"1";NA;"Brandenburg"
"EEA";"road";"lden";"208400";"208400";"55500";"40100";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"road";"lnight";"208400";"208400";"34100";"25800";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"air";"lden";"208400";"208400";"0";"0";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"air";"lnight";"208400";"208400";"0";"0";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"rail";"lden";"208400";"208400";"25500";"3600";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"rail";"lnight";"208400";"208400";"19800";"2300";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"industry";"lden";"208400";NA;"300";NA;"1";NA;"Mecklenburg-Vorpommern"
"EEA";"industry";"lnight";"208400";NA;"200";NA;"1";NA;"Mecklenburg-Vorpommern"
"EEA";"road";"lden";"1400322";"1400322";"469100";"297400";"3";"3";"Freistaat Sachsen"
"EEA";"road";"lnight";"1400322";"1400322";"350400";"215900";"3";"3";"Freistaat Sachsen"
"EEA";"air";"lden";"1400322";"1400322";"3500";"1600";"3";"3";"Freistaat Sachsen"
"EEA";"air";"lnight";"1400322";"1400322";"1400";"1400";"3";"3";"Freistaat Sachsen"
"EEA";"rail";"lden";"1400322";"1400322";"190300";"37500";"3";"3";"Freistaat Sachsen"
"EEA";"rail";"lnight";"1400322";"1400322";"135600";"26700";"3";"3";"Freistaat Sachsen"
"EEA";"industry";"lden";"1400322";NA;"300";NA;"3";NA;"Freistaat Sachsen"
"EEA";"industry";"lnight";"1400322";NA;"0";NA;"3";NA;"Freistaat Sachsen"
"EEA";"road";"lden";"474249";"474249";"218000";"96500";"2";"2";"Sachsen-Anhalt"
"EEA";"road";"lnight";"474249";"474249";"146900";"66300";"2";"2";"Sachsen-Anhalt"
"EEA";"air";"lden";"474249";"474249";"500";"500";"2";"2";"Sachsen-Anhalt"
"EEA";"air";"lnight";"474249";"474249";"300";"300";"2";"2";"Sachsen-Anhalt"
"EEA";"rail";"lden";"474249";"474249";"56500";"14300";"2";"2";"Sachsen-Anhalt"
"EEA";"rail";"lnight";"474249";"474249";"40900";"10900";"2";"2";"Sachsen-Anhalt"
"EEA";"industry";"lden";"474249";NA;"0";NA;"2";NA;"Sachsen-Anhalt"
"EEA";"industry";"lnight";"474249";NA;"0";NA;"2";NA;"Sachsen-Anhalt"
"EEA";"road";"lden";NA;NA;NA;"6883100";NA;"1";NA
"EEA";"road";"lnight";NA;NA;NA;"4286500";NA;"1";NA
"EEA";"rail";"lden";NA;NA;NA;"1239500";NA;"1";NA
"EEA";"rail";"lnight";NA;NA;NA;"943900";NA;"1";NA
