"gemeinde_kennziffer";"l_untergrenze";"l_zentral";"metrik";"exponierte";"quelle";"kartierungsumfang";"datenquelle"
"06431015";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431016";"55";"57";"lden";"3732";"Straße";"major";"Bundesland"
"06431016";"60";"62";"lden";"1317";"Straße";"major";"Bundesland"
"06431016";"65";"67";"lden";"524";"Straße";"major";"Bundesland"
"06431016";"70";"72";"lden";"80";"Straße";"major";"Bundesland"
"06431016";"75";"77";"lden";"4";"Straße";"major";"Bundesland"
"06431016";"50";"52";"lnight";"2486";"Straße";"major";"Bundesland"
"06431016";"55";"57";"lnight";"790";"Straße";"major";"Bundesland"
"06431016";"60";"62";"lnight";"259";"Straße";"major";"Bundesland"
"06431016";"65";"67";"lnight";"20";"Straße";"major";"Bundesland"
"06431016";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431017";"55";"57";"lden";"363";"Straße";"major";"Bundesland"
"06431017";"60";"62";"lden";"216";"Straße";"major";"Bundesland"
"06431017";"65";"67";"lden";"174";"Straße";"major";"Bundesland"
"06431017";"70";"72";"lden";"128";"Straße";"major";"Bundesland"
"06431017";"75";"77";"lden";"54";"Straße";"major";"Bundesland"
"06431017";"50";"52";"lnight";"249";"Straße";"major";"Bundesland"
"06431017";"55";"57";"lnight";"178";"Straße";"major";"Bundesland"
"06431017";"60";"62";"lnight";"114";"Straße";"major";"Bundesland"
"06431017";"65";"67";"lnight";"93";"Straße";"major";"Bundesland"
"06431017";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431018";"55";"57";"lden";"136";"Straße";"major";"Bundesland"
"06431018";"60";"62";"lden";"127";"Straße";"major";"Bundesland"
"06431018";"65";"67";"lden";"108";"Straße";"major";"Bundesland"
"06431018";"70";"72";"lden";"155";"Straße";"major";"Bundesland"
"06431018";"75";"77";"lden";"35";"Straße";"major";"Bundesland"
"06431018";"50";"52";"lnight";"134";"Straße";"major";"Bundesland"
"06431018";"55";"57";"lnight";"110";"Straße";"major";"Bundesland"
"06431018";"60";"62";"lnight";"160";"Straße";"major";"Bundesland"
"06431018";"65";"67";"lnight";"36";"Straße";"major";"Bundesland"
"06431018";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431019";"55";"57";"lden";"294";"Straße";"major";"Bundesland"
"06431019";"60";"62";"lden";"195";"Straße";"major";"Bundesland"
"06431019";"65";"67";"lden";"223";"Straße";"major";"Bundesland"
"06431019";"70";"72";"lden";"200";"Straße";"major";"Bundesland"
"06431019";"75";"77";"lden";"4";"Straße";"major";"Bundesland"
"06431019";"50";"52";"lnight";"206";"Straße";"major";"Bundesland"
"06431019";"55";"57";"lnight";"212";"Straße";"major";"Bundesland"
"06431019";"60";"62";"lnight";"238";"Straße";"major";"Bundesland"
"06431019";"65";"67";"lnight";"18";"Straße";"major";"Bundesland"
"06431019";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431020";"55";"57";"lden";"3460";"Straße";"major";"Bundesland"
"06431020";"60";"62";"lden";"1429";"Straße";"major";"Bundesland"
"06431020";"65";"67";"lden";"486";"Straße";"major";"Bundesland"
"06431020";"70";"72";"lden";"36";"Straße";"major";"Bundesland"
"06431020";"75";"77";"lden";"38";"Straße";"major";"Bundesland"
"06431020";"50";"52";"lnight";"2200";"Straße";"major";"Bundesland"
"06431020";"55";"57";"lnight";"1018";"Straße";"major";"Bundesland"
"06431020";"60";"62";"lnight";"120";"Straße";"major";"Bundesland"
"06431020";"65";"67";"lnight";"34";"Straße";"major";"Bundesland"
"06431020";"70";"72";"lnight";"11";"Straße";"major";"Bundesland"
"06431021";"55";"57";"lden";"209";"Straße";"major";"Bundesland"
"06431021";"60";"62";"lden";"162";"Straße";"major";"Bundesland"
"06431021";"65";"67";"lden";"80";"Straße";"major";"Bundesland"
"06431021";"70";"72";"lden";"67";"Straße";"major";"Bundesland"
"06431021";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431021";"50";"52";"lnight";"168";"Straße";"major";"Bundesland"
"06431021";"55";"57";"lnight";"92";"Straße";"major";"Bundesland"
"06431021";"60";"62";"lnight";"69";"Straße";"major";"Bundesland"
"06431021";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431021";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431022";"55";"57";"lden";"1742";"Straße";"major";"Bundesland"
"06431022";"60";"62";"lden";"444";"Straße";"major";"Bundesland"
"06431022";"65";"67";"lden";"280";"Straße";"major";"Bundesland"
"06431022";"70";"72";"lden";"143";"Straße";"major";"Bundesland"
"06431022";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431022";"50";"52";"lnight";"893";"Straße";"major";"Bundesland"
"06431022";"55";"57";"lnight";"308";"Straße";"major";"Bundesland"
"06431022";"60";"62";"lnight";"222";"Straße";"major";"Bundesland"
"06431022";"65";"67";"lnight";"1";"Straße";"major";"Bundesland"
"06431022";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06431200";"55";"57";"lden";"0";"Straße";"major";"Bundesland"
"06431200";"60";"62";"lden";"0";"Straße";"major";"Bundesland"
"06431200";"65";"67";"lden";"0";"Straße";"major";"Bundesland"
"06431200";"70";"72";"lden";"0";"Straße";"major";"Bundesland"
"06431200";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06431200";"50";"52";"lnight";"0";"Straße";"major";"Bundesland"
"06431200";"55";"57";"lnight";"0";"Straße";"major";"Bundesland"
"06431200";"60";"62";"lnight";"0";"Straße";"major";"Bundesland"
"06431200";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06431200";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06432001";"55";"57";"lden";"1839";"Straße";"major";"Bundesland"
"06432001";"60";"62";"lden";"694";"Straße";"major";"Bundesland"
"06432001";"65";"67";"lden";"309";"Straße";"major";"Bundesland"
"06432001";"70";"72";"lden";"39";"Straße";"major";"Bundesland"
"06432001";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06432001";"50";"52";"lnight";"1284";"Straße";"major";"Bundesland"
"06432001";"55";"57";"lnight";"439";"Straße";"major";"Bundesland"
"06432001";"60";"62";"lnight";"99";"Straße";"major";"Bundesland"
"06432001";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06432001";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06432002";"55";"57";"lden";"624";"Straße";"major";"Bundesland"
"06432002";"60";"62";"lden";"430";"Straße";"major";"Bundesland"
"06432002";"65";"67";"lden";"318";"Straße";"major";"Bundesland"
"06432002";"70";"72";"lden";"102";"Straße";"major";"Bundesland"
"06432002";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06432002";"50";"52";"lnight";"455";"Straße";"major";"Bundesland"
"06432002";"55";"57";"lnight";"314";"Straße";"major";"Bundesland"
"06432002";"60";"62";"lnight";"139";"Straße";"major";"Bundesland"
"06432002";"65";"67";"lnight";"1";"Straße";"major";"Bundesland"
"06432002";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06432003";"55";"57";"lden";"1542";"Straße";"major";"Bundesland"
"06432003";"60";"62";"lden";"663";"Straße";"major";"Bundesland"
"06432003";"65";"67";"lden";"319";"Straße";"major";"Bundesland"
"06432003";"70";"72";"lden";"86";"Straße";"major";"Bundesland"
"06432003";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06432003";"50";"52";"lnight";"955";"Straße";"major";"Bundesland"
"06432003";"55";"57";"lnight";"521";"Straße";"major";"Bundesland"
"06432003";"60";"62";"lnight";"140";"Straße";"major";"Bundesland"
"06432003";"65";"67";"lnight";"2";"Straße";"major";"Bundesland"
"06432003";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06432004";"55";"57";"lden";"1416";"Straße";"major";"Bundesland"
"06432004";"60";"62";"lden";"454";"Straße";"major";"Bundesland"
"06432004";"65";"67";"lden";"316";"Straße";"major";"Bundesland"
"06432004";"70";"72";"lden";"168";"Straße";"major";"Bundesland"
"06432004";"75";"77";"lden";"4";"Straße";"major";"Bundesland"
"06432004";"50";"52";"lnight";"723";"Straße";"major";"Bundesland"
"06432004";"55";"57";"lnight";"367";"Straße";"major";"Bundesland"
"06432004";"60";"62";"lnight";"173";"Straße";"major";"Bundesland"
"06432004";"65";"67";"lnight";"15";"Straße";"major";"Bundesland"
"06432004";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06432005";"55";"57";"lden";"1180";"Straße";"major";"Bundesland"
"06432005";"60";"62";"lden";"372";"Straße";"major";"Bundesland"
"06432005";"65";"67";"lden";"162";"Straße";"major";"Bundesland"
"06432005";"70";"72";"lden";"144";"Straße";"major";"Bundesland"
"06432005";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06432005";"50";"52";"lnight";"724";"Straße";"major";"Bundesland"
"06432005";"55";"57";"lnight";"191";"Straße";"major";"Bundesland"
"06432005";"60";"62";"lnight";"153";"Straße";"major";"Bundesland"
"06432005";"65";"67";"lnight";"1";"Straße";"major";"Bundesland"
"06432005";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06432006";"55";"57";"lden";"441";"Straße";"major";"Bundesland"
"06432006";"60";"62";"lden";"65";"Straße";"major";"Bundesland"
"06432006";"65";"67";"lden";"2";"Straße";"major";"Bundesland"
"06432006";"70";"72";"lden";"3";"Straße";"major";"Bundesland"
"06432006";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06432006";"50";"52";"lnight";"244";"Straße";"major";"Bundesland"
"06432006";"55";"57";"lnight";"14";"Straße";"major";"Bundesland"
"06432006";"60";"62";"lnight";"2";"Straße";"major";"Bundesland"
"06432006";"65";"67";"lnight";"1";"Straße";"major";"Bundesland"
"06432006";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06432007";"55";"57";"lden";"0";"Straße";"major";"Bundesland"
"06432007";"60";"62";"lden";"0";"Straße";"major";"Bundesland"
"06432007";"65";"67";"lden";"0";"Straße";"major";"Bundesland"
"06432007";"70";"72";"lden";"0";"Straße";"major";"Bundesland"
"06432007";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06432007";"50";"52";"lnight";"0";"Straße";"major";"Bundesland"
"06432007";"55";"57";"lnight";"0";"Straße";"major";"Bundesland"
"06432007";"60";"62";"lnight";"0";"Straße";"major";"Bundesland"
"06432007";"65";"67";"lnight";"0";"Straße";"major";"Bundesland"
"06432007";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06432008";"55";"57";"lden";"2859";"Straße";"major";"Bundesland"
"06432008";"60";"62";"lden";"1593";"Straße";"major";"Bundesland"
"06432008";"65";"67";"lden";"1185";"Straße";"major";"Bundesland"
"06432008";"70";"72";"lden";"448";"Straße";"major";"Bundesland"
"06432008";"75";"77";"lden";"37";"Straße";"major";"Bundesland"
"06432008";"50";"52";"lnight";"2220";"Straße";"major";"Bundesland"
"06432008";"55";"57";"lnight";"1631";"Straße";"major";"Bundesland"
"06432008";"60";"62";"lnight";"643";"Straße";"major";"Bundesland"
"06432008";"65";"67";"lnight";"77";"Straße";"major";"Bundesland"
"06432008";"70";"72";"lnight";"1";"Straße";"major";"Bundesland"
"06432009";"55";"57";"lden";"218";"Straße";"major";"Bundesland"
"06432009";"60";"62";"lden";"171";"Straße";"major";"Bundesland"
"06432009";"65";"67";"lden";"159";"Straße";"major";"Bundesland"
"06432009";"70";"72";"lden";"288";"Straße";"major";"Bundesland"
"06432009";"75";"77";"lden";"20";"Straße";"major";"Bundesland"
"06432009";"50";"52";"lnight";"172";"Straße";"major";"Bundesland"
"06432009";"55";"57";"lnight";"148";"Straße";"major";"Bundesland"
"06432009";"60";"62";"lnight";"308";"Straße";"major";"Bundesland"
"06432009";"65";"67";"lnight";"41";"Straße";"major";"Bundesland"
"06432009";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06432010";"55";"57";"lden";"325";"Straße";"major";"Bundesland"
"06432010";"60";"62";"lden";"160";"Straße";"major";"Bundesland"
"06432010";"65";"67";"lden";"152";"Straße";"major";"Bundesland"
"06432010";"70";"72";"lden";"72";"Straße";"major";"Bundesland"
"06432010";"75";"77";"lden";"8";"Straße";"major";"Bundesland"
"06432010";"50";"52";"lnight";"190";"Straße";"major";"Bundesland"
"06432010";"55";"57";"lnight";"148";"Straße";"major";"Bundesland"
"06432010";"60";"62";"lnight";"93";"Straße";"major";"Bundesland"
"06432010";"65";"67";"lnight";"13";"Straße";"major";"Bundesland"
"06432010";"70";"72";"lnight";"0";"Straße";"major";"Bundesland"
"06432011";"55";"57";"lden";"650";"Straße";"major";"Bundesland"
"06432011";"60";"62";"lden";"300";"Straße";"major";"Bundesland"
"06432011";"65";"67";"lden";"255";"Straße";"major";"Bundesland"
"06432011";"70";"72";"lden";"201";"Straße";"major";"Bundesland"
"06432011";"75";"77";"lden";"0";"Straße";"major";"Bundesland"
"06432011";"50";"52";"lnight";"343";"Straße";"major";"Bundesland"
"06432011";"55";"57";"lnight";"282";"Straße";"major";"Bundesland"
